
=== CAN Simulator — RANDOM MODE ===
Session  : encode-test
Speed    : 1.0x
Press Ctrl+C to stop

Session published: encode-test
  [1] Car_Status @ 1774961356.207s signals=['door_latche_status:6', 'selective_unlock_statuss:1']
  [548] Engine_Status @ 1774961358.937s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [549] Vehicle_Speed @ 1774961358.937s signals=['Speed_High:0', 'Speed_Low:0']
  [550] Steering_Status @ 1774961358.937s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [551] Transmission_Status @ 1774961358.937s signals=['Gear_Position:0', 'Gear_Number:0']
  [552] Brake_Status @ 1774961358.937s signals=['Brake_Pressure:0', 'ABS_State:0']
  [553] Fuel_Status @ 1774961358.937s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [554] Wheel_Speed @ 1774961358.991s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [555] Suspension_Status @ 1774961358.991s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [556] Tyre_Pressure @ 1774961358.991s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [557] Body_Control @ 1774961358.991s signals=['Headlight_State:0', 'Wiper_State:0']
  [558] Engine_Status @ 1774961358.991s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [559] Vehicle_Speed @ 1774961358.991s signals=['Speed_High:0', 'Speed_Low:0']
  [560] Steering_Status @ 1774961358.991s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [561] Transmission_Status @ 1774961358.991s signals=['Gear_Position:0', 'Gear_Number:0']
  [562] Brake_Status @ 1774961358.991s signals=['Brake_Pressure:0', 'ABS_State:0']
  [563] Fuel_Status @ 1774961358.991s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [564] Wheel_Speed @ 1774961359.041s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [565] Suspension_Status @ 1774961359.041s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [566] Tyre_Pressure @ 1774961359.041s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [567] Body_Control @ 1774961359.041s signals=['Headlight_State:0', 'Wiper_State:0']
  [568] Engine_Status @ 1774961359.041s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [569] Vehicle_Speed @ 1774961359.041s signals=['Speed_High:0', 'Speed_Low:0']
  [570] Steering_Status @ 1774961359.041s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [571] Transmission_Status @ 1774961359.041s signals=['Gear_Position:0', 'Gear_Number:0']
  [572] Brake_Status @ 1774961359.041s signals=['Brake_Pressure:0', 'ABS_State:0']
  [573] Fuel_Status @ 1774961359.041s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [574] Wheel_Speed @ 1774961359.094s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [575] Suspension_Status @ 1774961359.094s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [576] Tyre_Pressure @ 1774961359.094s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [577] Body_Control @ 1774961359.094s signals=['Headlight_State:0', 'Wiper_State:0']
  [578] Engine_Status @ 1774961359.094s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [579] Vehicle_Speed @ 1774961359.094s signals=['Speed_High:0', 'Speed_Low:0']
  [580] Steering_Status @ 1774961359.094s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [581] Transmission_Status @ 1774961359.094s signals=['Gear_Position:0', 'Gear_Number:0']
  [582] Brake_Status @ 1774961359.094s signals=['Brake_Pressure:0', 'ABS_State:0']
  [583] Fuel_Status @ 1774961359.094s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [584] Wheel_Speed @ 1774961359.145s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [585] Suspension_Status @ 1774961359.145s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [586] Tyre_Pressure @ 1774961359.145s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [587] Body_Control @ 1774961359.145s signals=['Headlight_State:0', 'Wiper_State:0']
  [588] Engine_Status @ 1774961359.145s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [589] Vehicle_Speed @ 1774961359.145s signals=['Speed_High:0', 'Speed_Low:0']
  [590] Steering_Status @ 1774961359.145s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [591] Transmission_Status @ 1774961359.145s signals=['Gear_Position:0', 'Gear_Number:0']
  [592] Brake_Status @ 1774961359.145s signals=['Brake_Pressure:0', 'ABS_State:0']
  [593] Fuel_Status @ 1774961359.145s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [594] Wheel_Speed @ 1774961359.196s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [595] Suspension_Status @ 1774961359.196s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [596] Tyre_Pressure @ 1774961359.196s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [597] Body_Control @ 1774961359.196s signals=['Headlight_State:0', 'Wiper_State:0']
  [598] Engine_Status @ 1774961359.196s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [599] Vehicle_Speed @ 1774961359.196s signals=['Speed_High:0', 'Speed_Low:0']
  [600] Steering_Status @ 1774961359.196s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [601] Transmission_Status @ 1774961359.196s signals=['Gear_Position:0', 'Gear_Number:0']
  [602] Brake_Status @ 1774961359.196s signals=['Brake_Pressure:0', 'ABS_State:0']
  [603] Fuel_Status @ 1774961359.196s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [604] Wheel_Speed @ 1774961359.248s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [605] Suspension_Status @ 1774961359.248s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [606] Tyre_Pressure @ 1774961359.248s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [607] Body_Control @ 1774961359.248s signals=['Headlight_State:0', 'Wiper_State:0']
  [608] Engine_Status @ 1774961359.248s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [609] Vehicle_Speed @ 1774961359.248s signals=['Speed_High:0', 'Speed_Low:0']
  [610] Steering_Status @ 1774961359.248s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [611] Transmission_Status @ 1774961359.248s signals=['Gear_Position:0', 'Gear_Number:0']
  [612] Brake_Status @ 1774961359.248s signals=['Brake_Pressure:0', 'ABS_State:0']
  [613] Fuel_Status @ 1774961359.248s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [614] Wheel_Speed @ 1774961359.298s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [615] Suspension_Status @ 1774961359.298s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [616] Tyre_Pressure @ 1774961359.298s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [617] Body_Control @ 1774961359.298s signals=['Headlight_State:0', 'Wiper_State:0']
  [618] key_comm @ 1774961359.298s signals=['KEY_Pos:1', 'KEY_Butt:1']
  [619] Engine_Status @ 1774961359.298s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [620] Vehicle_Speed @ 1774961359.298s signals=['Speed_High:0', 'Speed_Low:0']
  [621] Steering_Status @ 1774961359.298s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [622] Transmission_Status @ 1774961359.298s signals=['Gear_Position:0', 'Gear_Number:0']
  [623] Brake_Status @ 1774961359.298s signals=['Brake_Pressure:0', 'ABS_State:0']
  [624] Fuel_Status @ 1774961359.298s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [625] Wheel_Speed @ 1774961359.350s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [626] Suspension_Status @ 1774961359.350s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [627] Tyre_Pressure @ 1774961359.350s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [628] Body_Control @ 1774961359.350s signals=['Headlight_State:0', 'Wiper_State:0']
  [629] Engine_Status @ 1774961359.350s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [630] Vehicle_Speed @ 1774961359.350s signals=['Speed_High:0', 'Speed_Low:0']
  [631] Steering_Status @ 1774961359.350s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [632] Transmission_Status @ 1774961359.350s signals=['Gear_Position:0', 'Gear_Number:0']
  [633] Brake_Status @ 1774961359.350s signals=['Brake_Pressure:0', 'ABS_State:0']
  [634] Fuel_Status @ 1774961359.350s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [635] Wheel_Speed @ 1774961359.400s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [636] Suspension_Status @ 1774961359.400s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [637] Tyre_Pressure @ 1774961359.400s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [638] Body_Control @ 1774961359.400s signals=['Headlight_State:0', 'Wiper_State:0']
  [639] Engine_Status @ 1774961359.400s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [640] Vehicle_Speed @ 1774961359.400s signals=['Speed_High:0', 'Speed_Low:0']
  [641] Steering_Status @ 1774961359.400s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [642] Transmission_Status @ 1774961359.400s signals=['Gear_Position:0', 'Gear_Number:0']
  [643] Brake_Status @ 1774961359.400s signals=['Brake_Pressure:0', 'ABS_State:0']
  [644] Fuel_Status @ 1774961359.400s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [645] Wheel_Speed @ 1774961359.451s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [646] Suspension_Status @ 1774961359.451s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [647] Tyre_Pressure @ 1774961359.451s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [648] Body_Control @ 1774961359.451s signals=['Headlight_State:0', 'Wiper_State:0']
  [649] Engine_Status @ 1774961359.451s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [650] Vehicle_Speed @ 1774961359.451s signals=['Speed_High:0', 'Speed_Low:0']
  [651] Steering_Status @ 1774961359.451s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [652] Transmission_Status @ 1774961359.451s signals=['Gear_Position:0', 'Gear_Number:0']
  [653] Brake_Status @ 1774961359.451s signals=['Brake_Pressure:0', 'ABS_State:0']
  [654] Fuel_Status @ 1774961359.451s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [655] Wheel_Speed @ 1774961359.503s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [656] Suspension_Status @ 1774961359.503s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [657] Tyre_Pressure @ 1774961359.503s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [658] Body_Control @ 1774961359.503s signals=['Headlight_State:0', 'Wiper_State:0']
  [659] Engine_Status @ 1774961359.503s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [660] Vehicle_Speed @ 1774961359.503s signals=['Speed_High:0', 'Speed_Low:0']
  [661] Steering_Status @ 1774961359.503s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [662] Transmission_Status @ 1774961359.503s signals=['Gear_Position:0', 'Gear_Number:0']
  [663] Brake_Status @ 1774961359.503s signals=['Brake_Pressure:0', 'ABS_State:0']
  [664] Fuel_Status @ 1774961359.503s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [665] Wheel_Speed @ 1774961359.554s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [666] Suspension_Status @ 1774961359.554s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [667] Tyre_Pressure @ 1774961359.554s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [668] Body_Control @ 1774961359.554s signals=['Headlight_State:0', 'Wiper_State:0']
  [669] Engine_Status @ 1774961359.554s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [670] Vehicle_Speed @ 1774961359.554s signals=['Speed_High:0', 'Speed_Low:0']
  [671] Steering_Status @ 1774961359.554s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [672] Transmission_Status @ 1774961359.554s signals=['Gear_Position:0', 'Gear_Number:0']
  [673] Brake_Status @ 1774961359.554s signals=['Brake_Pressure:0', 'ABS_State:0']
  [674] Fuel_Status @ 1774961359.554s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [675] Wheel_Speed @ 1774961359.606s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [676] Suspension_Status @ 1774961359.606s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [677] Tyre_Pressure @ 1774961359.606s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [678] Body_Control @ 1774961359.606s signals=['Headlight_State:0', 'Wiper_State:0']
  [679] Engine_Status @ 1774961359.606s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [680] Vehicle_Speed @ 1774961359.606s signals=['Speed_High:0', 'Speed_Low:0']
  [681] Steering_Status @ 1774961359.606s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [682] Transmission_Status @ 1774961359.606s signals=['Gear_Position:0', 'Gear_Number:0']
  [683] Brake_Status @ 1774961359.606s signals=['Brake_Pressure:0', 'ABS_State:0']
  [684] Fuel_Status @ 1774961359.606s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [685] Wheel_Speed @ 1774961359.657s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [686] Suspension_Status @ 1774961359.657s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [687] Tyre_Pressure @ 1774961359.657s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [688] Body_Control @ 1774961359.657s signals=['Headlight_State:0', 'Wiper_State:0']
  [689] Engine_Status @ 1774961359.657s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [690] Vehicle_Speed @ 1774961359.657s signals=['Speed_High:0', 'Speed_Low:0']
  [691] Steering_Status @ 1774961359.657s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [692] Transmission_Status @ 1774961359.657s signals=['Gear_Position:0', 'Gear_Number:0']
  [693] Brake_Status @ 1774961359.657s signals=['Brake_Pressure:0', 'ABS_State:0']
  [694] Fuel_Status @ 1774961359.657s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [695] Wheel_Speed @ 1774961359.709s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [696] Suspension_Status @ 1774961359.709s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [697] Tyre_Pressure @ 1774961359.709s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [698] Body_Control @ 1774961359.709s signals=['Headlight_State:0', 'Wiper_State:0']
  [699] Engine_Status @ 1774961359.709s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [700] Vehicle_Speed @ 1774961359.709s signals=['Speed_High:0', 'Speed_Low:0']
  [701] Steering_Status @ 1774961359.709s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [702] Transmission_Status @ 1774961359.709s signals=['Gear_Position:0', 'Gear_Number:0']
  [703] Brake_Status @ 1774961359.709s signals=['Brake_Pressure:0', 'ABS_State:0']
  [704] Fuel_Status @ 1774961359.709s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [705] Wheel_Speed @ 1774961359.761s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [706] Suspension_Status @ 1774961359.761s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [707] Tyre_Pressure @ 1774961359.761s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [708] Body_Control @ 1774961359.761s signals=['Headlight_State:0', 'Wiper_State:0']
  [709] Engine_Status @ 1774961359.761s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [710] Vehicle_Speed @ 1774961359.761s signals=['Speed_High:0', 'Speed_Low:0']
  [711] Steering_Status @ 1774961359.761s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [712] Transmission_Status @ 1774961359.761s signals=['Gear_Position:0', 'Gear_Number:0']
  [713] Brake_Status @ 1774961359.761s signals=['Brake_Pressure:0', 'ABS_State:0']
  [714] Fuel_Status @ 1774961359.761s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [715] Wheel_Speed @ 1774961359.813s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [716] Suspension_Status @ 1774961359.813s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [717] Tyre_Pressure @ 1774961359.813s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [718] Body_Control @ 1774961359.813s signals=['Headlight_State:0', 'Wiper_State:0']
  [719] Engine_Status @ 1774961359.813s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [720] Vehicle_Speed @ 1774961359.813s signals=['Speed_High:0', 'Speed_Low:0']
  [721] Steering_Status @ 1774961359.813s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [722] Transmission_Status @ 1774961359.813s signals=['Gear_Position:0', 'Gear_Number:0']
  [723] Brake_Status @ 1774961359.813s signals=['Brake_Pressure:0', 'ABS_State:0']
  [724] Fuel_Status @ 1774961359.813s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [725] Wheel_Speed @ 1774961359.864s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [726] Suspension_Status @ 1774961359.864s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [727] Tyre_Pressure @ 1774961359.864s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [728] Body_Control @ 1774961359.864s signals=['Headlight_State:0', 'Wiper_State:0']
  [729] Engine_Status @ 1774961359.864s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [730] Vehicle_Speed @ 1774961359.864s signals=['Speed_High:0', 'Speed_Low:0']
  [731] Steering_Status @ 1774961359.864s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [732] Transmission_Status @ 1774961359.864s signals=['Gear_Position:0', 'Gear_Number:0']
  [733] Brake_Status @ 1774961359.864s signals=['Brake_Pressure:0', 'ABS_State:0']
  [734] Fuel_Status @ 1774961359.864s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [735] Wheel_Speed @ 1774961359.917s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [736] Suspension_Status @ 1774961359.917s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [737] Tyre_Pressure @ 1774961359.917s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [738] Body_Control @ 1774961359.917s signals=['Headlight_State:0', 'Wiper_State:0']
  [739] Engine_Status @ 1774961359.917s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [740] Vehicle_Speed @ 1774961359.917s signals=['Speed_High:0', 'Speed_Low:0']
  [741] Steering_Status @ 1774961359.917s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [742] Transmission_Status @ 1774961359.917s signals=['Gear_Position:0', 'Gear_Number:0']
  [743] Brake_Status @ 1774961359.917s signals=['Brake_Pressure:0', 'ABS_State:0']
  [744] Fuel_Status @ 1774961359.917s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [745] Wheel_Speed @ 1774961359.970s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [746] Suspension_Status @ 1774961359.970s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [747] Tyre_Pressure @ 1774961359.970s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [748] Body_Control @ 1774961359.970s signals=['Headlight_State:0', 'Wiper_State:0']
  [749] Engine_Status @ 1774961359.970s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [750] Vehicle_Speed @ 1774961359.970s signals=['Speed_High:0', 'Speed_Low:0']
  [751] Steering_Status @ 1774961359.970s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [752] Transmission_Status @ 1774961359.970s signals=['Gear_Position:0', 'Gear_Number:0']
  [753] Brake_Status @ 1774961359.970s signals=['Brake_Pressure:0', 'ABS_State:0']
  [754] Fuel_Status @ 1774961359.970s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [755] Wheel_Speed @ 1774961360.021s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [756] Suspension_Status @ 1774961360.021s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [757] Tyre_Pressure @ 1774961360.021s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [758] Body_Control @ 1774961360.021s signals=['Headlight_State:0', 'Wiper_State:0']
  [759] Engine_Status @ 1774961360.021s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [760] Vehicle_Speed @ 1774961360.021s signals=['Speed_High:0', 'Speed_Low:0']
  [761] Steering_Status @ 1774961360.021s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [762] Transmission_Status @ 1774961360.021s signals=['Gear_Position:0', 'Gear_Number:0']
  [763] Brake_Status @ 1774961360.021s signals=['Brake_Pressure:0', 'ABS_State:0']
  [764] Fuel_Status @ 1774961360.021s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [765] Wheel_Speed @ 1774961360.072s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [766] Suspension_Status @ 1774961360.072s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [767] Tyre_Pressure @ 1774961360.072s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [768] Body_Control @ 1774961360.072s signals=['Headlight_State:0', 'Wiper_State:0']
  [769] Engine_Status @ 1774961360.072s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [770] Vehicle_Speed @ 1774961360.072s signals=['Speed_High:0', 'Speed_Low:0']
  [771] Steering_Status @ 1774961360.072s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [772] Transmission_Status @ 1774961360.072s signals=['Gear_Position:0', 'Gear_Number:0']
  [773] Brake_Status @ 1774961360.072s signals=['Brake_Pressure:0', 'ABS_State:0']
  [774] Fuel_Status @ 1774961360.072s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [775] Wheel_Speed @ 1774961360.123s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [776] Suspension_Status @ 1774961360.123s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [777] Tyre_Pressure @ 1774961360.123s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [778] Body_Control @ 1774961360.123s signals=['Headlight_State:0', 'Wiper_State:0']
  [779] Engine_Status @ 1774961360.123s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [780] Vehicle_Speed @ 1774961360.123s signals=['Speed_High:0', 'Speed_Low:0']
  [781] Steering_Status @ 1774961360.123s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [782] Transmission_Status @ 1774961360.123s signals=['Gear_Position:0', 'Gear_Number:0']
  [783] Brake_Status @ 1774961360.123s signals=['Brake_Pressure:0', 'ABS_State:0']
  [784] Fuel_Status @ 1774961360.123s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [785] Wheel_Speed @ 1774961360.174s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [786] Suspension_Status @ 1774961360.174s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [787] Tyre_Pressure @ 1774961360.174s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [788] Body_Control @ 1774961360.174s signals=['Headlight_State:0', 'Wiper_State:0']
  [789] Engine_Status @ 1774961360.174s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [790] Vehicle_Speed @ 1774961360.174s signals=['Speed_High:0', 'Speed_Low:0']
  [791] Steering_Status @ 1774961360.174s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [792] Transmission_Status @ 1774961360.174s signals=['Gear_Position:0', 'Gear_Number:0']
  [793] Brake_Status @ 1774961360.174s signals=['Brake_Pressure:0', 'ABS_State:0']
  [794] Fuel_Status @ 1774961360.174s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [795] Car_Status @ 1774961360.225s signals=['door_latche_status:6', 'selective_unlock_statuss:1']
  [796] Key_Button_Status @ 1774961360.225s signals=['Unlock_Button_status:3', 'lock_Button_status:0']
  [797] Contact_Status @ 1774961360.225s signals=['Drd_Status_Cont:1', 'PSD_Status_Cont:1']
  [798] Latch_Action @ 1774961360.225s signals=['Drd_Secure_latch_action:0', 'Drdr_Secure_latch_action:0']
  [799] Door_selective_unlock @ 1774961360.225s signals=['selective_unlock_action:1', 'Roc_Switch:2']
  [800] Wheel_Speed @ 1774961360.225s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [801] Suspension_Status @ 1774961360.225s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [802] Tyre_Pressure @ 1774961360.225s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [803] Body_Control @ 1774961360.225s signals=['Headlight_State:0', 'Wiper_State:0']
  [804] Engine_Status @ 1774961360.225s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [805] Vehicle_Speed @ 1774961360.225s signals=['Speed_High:0', 'Speed_Low:0']
  [806] Steering_Status @ 1774961360.225s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [807] Transmission_Status @ 1774961360.225s signals=['Gear_Position:0', 'Gear_Number:0']
  [808] Brake_Status @ 1774961360.225s signals=['Brake_Pressure:0', 'ABS_State:0']
  [809] Fuel_Status @ 1774961360.225s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [810] Wheel_Speed @ 1774961360.276s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [811] Suspension_Status @ 1774961360.276s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [812] Tyre_Pressure @ 1774961360.276s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [813] Body_Control @ 1774961360.276s signals=['Headlight_State:0', 'Wiper_State:0']
  [814] Engine_Status @ 1774961360.276s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [815] Vehicle_Speed @ 1774961360.276s signals=['Speed_High:0', 'Speed_Low:0']
  [816] Steering_Status @ 1774961360.276s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
